i,0,1,2,3,4,5,6,7,8,9,10
761,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
762,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
763,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
764,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
765,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
766,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
767,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
768,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
769,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
770,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
771,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
772,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
773,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
774,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
775,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
776,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
777,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
778,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
779,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
780,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
781,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
782,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
783,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
784,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
785,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
786,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
787,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
788,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
789,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
790,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
791,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
792,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
793,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
794,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
795,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
796,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
797,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
798,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
799,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
800,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
801,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
802,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
803,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
804,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
805,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
806,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
807,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
808,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
809,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
810,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
811,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
812,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
813,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
814,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
815,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
816,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
817,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
818,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
819,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
820,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
821,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
822,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
823,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
824,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
825,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
826,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
827,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
828,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
829,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
830,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
831,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
832,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
833,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
834,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
835,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
836,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
837,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
838,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
839,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
840,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
841,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
842,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
843,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
844,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN
845,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
846,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
847,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
848,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
849,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
850,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
851,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
852,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
853,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
854,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
855,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
856,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
857,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
