,i,g,status
1078,98,0,FP
1079,98,1,FP
1080,98,2,FP
1081,98,3,FP
1082,98,4,FP
1083,98,5,FP
1084,98,6,FP
1085,98,7,TN
1086,98,8,TN
1087,98,9,TN
1088,98,10,TN
1089,99,0,FP
1090,99,1,FP
1091,99,2,FP
1092,99,3,TN
1093,99,4,TN
1094,99,5,TN
1095,99,6,TN
1096,99,7,TN
1097,99,8,TN
1098,99,9,TN
1099,99,10,TN
1100,100,0,FP
1101,100,1,FP
1102,100,2,FP
1103,100,3,TN
1104,100,4,TN
1105,100,5,TN
1106,100,6,TN
1107,100,7,TN
1108,100,8,TN
1109,100,9,TN
1110,100,10,TN
1111,101,0,FP
1112,101,1,FP
1113,101,2,FP
1114,101,3,FP
1115,101,4,TN
1116,101,5,TN
1117,101,6,TN
1118,101,7,TN
1119,101,8,TN
1120,101,9,TN
1121,101,10,TN
1122,102,0,TP
1123,102,1,TP
1124,102,2,TP
1125,102,3,TP
1126,102,4,TP
1127,102,5,TP
1128,102,6,TP
1129,102,7,TP
1130,102,8,TP
1131,102,9,TP
1132,102,10,FN
1133,103,0,TP
1134,103,1,TP
1135,103,2,TP
1136,103,3,FN
1137,103,4,FN
1138,103,5,FN
1139,103,6,FN
1140,103,7,FN
1141,103,8,FN
1142,103,9,FN
1143,103,10,FN
1144,104,0,FP
1145,104,1,FP
1146,104,2,FP
1147,104,3,FP
1148,104,4,TN
1149,104,5,TN
1150,104,6,TN
1151,104,7,TN
1152,104,8,TN
1153,104,9,TN
1154,104,10,TN
1155,105,0,FP
1156,105,1,FP
1157,105,2,FP
1158,105,3,FP
1159,105,4,FP
1160,105,5,TN
1161,105,6,TN
1162,105,7,TN
1163,105,8,TN
1164,105,9,TN
1165,105,10,TN
1166,106,0,FP
1167,106,1,FP
1168,106,2,FP
1169,106,3,FP
1170,106,4,FP
1171,106,5,FP
1172,106,6,TN
1173,106,7,TN
1174,106,8,TN
1175,106,9,TN
1176,106,10,TN
1177,107,0,FP
1178,107,1,FP
1179,107,2,FP
1180,107,3,TN
1181,107,4,TN
1182,107,5,TN
1183,107,6,TN
1184,107,7,TN
1185,107,8,TN
1186,107,9,TN
1187,107,10,TN
1188,108,0,FP
1189,108,1,FP
1190,108,2,FP
1191,108,3,FP
1192,108,4,FP
1193,108,5,TN
1194,108,6,TN
1195,108,7,TN
1196,108,8,TN
1197,108,9,TN
1198,108,10,TN
1199,109,0,FP
1200,109,1,FP
1201,109,2,FP
1202,109,3,FP
1203,109,4,FP
1204,109,5,FP
1205,109,6,TN
1206,109,7,TN
1207,109,8,TN
1208,109,9,TN
1209,109,10,TN
1210,110,0,TP
1211,110,1,TP
1212,110,2,TP
1213,110,3,TP
1214,110,4,TP
1215,110,5,TP
1216,110,6,TP
1217,110,7,TP
1218,110,8,TP
1219,110,9,FN
1220,110,10,FN
1221,111,0,FP
1222,111,1,FP
1223,111,2,FP
1224,111,3,FP
1225,111,4,FP
1226,111,5,FP
1227,111,6,TN
1228,111,7,TN
1229,111,8,TN
1230,111,9,TN
1231,111,10,TN
1232,112,0,FP
1233,112,1,FP
1234,112,2,FP
1235,112,3,FP
1236,112,4,TN
1237,112,5,TN
1238,112,6,TN
1239,112,7,TN
1240,112,8,TN
1241,112,9,TN
1242,112,10,TN
1243,113,0,FP
1244,113,1,FP
1245,113,2,FP
1246,113,3,FP
1247,113,4,TN
1248,113,5,TN
1249,113,6,TN
1250,113,7,TN
1251,113,8,TN
1252,113,9,TN
1253,113,10,TN
1254,114,0,FP
1255,114,1,FP
1256,114,2,FP
1257,114,3,FP
1258,114,4,TN
1259,114,5,TN
1260,114,6,TN
1261,114,7,TN
1262,114,8,TN
1263,114,9,TN
1264,114,10,TN
1265,115,0,FP
1266,115,1,FP
1267,115,2,FP
1268,115,3,FP
1269,115,4,FP
1270,115,5,TN
1271,115,6,TN
1272,115,7,TN
1273,115,8,TN
1274,115,9,TN
1275,115,10,TN
1276,116,0,FP
1277,116,1,FP
1278,116,2,TN
1279,116,3,TN
1280,116,4,TN
1281,116,5,TN
1282,116,6,TN
1283,116,7,TN
1284,116,8,TN
1285,116,9,TN
1286,116,10,TN
1287,117,0,FP
1288,117,1,FP
1289,117,2,FP
1290,117,3,FP
1291,117,4,FP
1292,117,5,FP
1293,117,6,FP
1294,117,7,TN
1295,117,8,TN
1296,117,9,TN
1297,117,10,TN
1298,118,0,FP
1299,118,1,FP
1300,118,2,FP
1301,118,3,FP
