,unknown,#occ,length
82,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '31f4c9f96bc929514ea10383a17ed8d514f28987', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",1,7
83,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",24,6
84,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,12
85,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",1,11
86,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,7
87,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '8767b63e7c38815d76f00c3ed75c063991300a0f')",1,7
88,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '8767b63e7c38815d76f00c3ed75c063991300a0f')",1,6
89,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",1,7
90,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '8767b63e7c38815d76f00c3ed75c063991300a0f', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",1,7
91,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '8767b63e7c38815d76f00c3ed75c063991300a0f', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '2b9685484e0601ef482a046880fd96a7838416da')",1,10
92,"('f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e')",63,3
93,"('f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",3,4
94,"('f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,7
